Genotype,Treatment,Tray,Rep,Measurement,Value
WT,Touched,3,40,PetioleLength,10.58
WT,Touched,3,41,PetioleLength,11.29
WT,Touched,3,42,PetioleLength,12.59
ccr1.1,Touched,1,1,PetioleLength,6.85
ccr1.1,Touched,1,2,PetioleLength,8.94
ccr1.1,Touched,1,3,PetioleLength,8.03
ccr1.1,Touched,1,4,PetioleLength,10.01
ccr1.1,Touched,1,5,PetioleLength,8.83
ccr1.1,Touched,1,6,PetioleLength,9.47
ccr1.1,Touched,1,7,PetioleLength,8.73
ccr1.1,Touched,1,8,PetioleLength,7.81
ccr1.1,Touched,1,9,PetioleLength,8.3
ccr1.1,Touched,1,10,PetioleLength,7.43
ccr1.1,Touched,1,11,PetioleLength,10.12
ccr1.1,Touched,1,12,PetioleLength,5.28
ccr1.1,Touched,1,13,PetioleLength,10.18
ccr1.1,Touched,1,14,PetioleLength,8.14
ccr1.1,Touched,2,15,PetioleLength,8.44
ccr1.1,Touched,2,16,PetioleLength,8.7
ccr1.1,Touched,2,17,PetioleLength,4.05
ccr1.1,Touched,2,18,PetioleLength,8.23
ccr1.1,Touched,2,19,PetioleLength,10.39
ccr1.1,Touched,2,20,PetioleLength,8.88
ccr1.1,Touched,2,21,PetioleLength,10.62
ccr1.1,Touched,2,22,PetioleLength,8.32
ccr1.1,Touched,2,23,PetioleLength,8.97
ccr1.1,Touched,2,24,PetioleLength,4.96
ccr1.1,Touched,3,25,PetioleLength,9.43
ccr1.1,Touched,3,26,PetioleLength,11.1
ccr1.1,Touched,3,27,PetioleLength,10.72
ccr1.1,Touched,3,28,PetioleLength,9.6
ccr1.1,Touched,3,29,PetioleLength,11.26
ccr1.1,Touched,3,30,PetioleLength,9.67
ccr1.1,Touched,4,31,PetioleLength,10.41
ccr1.1,Touched,5,32,PetioleLength,5.22
ccr1.1,Touched,6,33,PetioleLength,11.12
ccr1.1,Touched,7,34,PetioleLength,9.14
ccr1.1,Touched,8,35,PetioleLength,7.19
ccr1.1,Touched,9,36,PetioleLength,10.31
WT,NotTouched,1,1,LeafWidth,10.374
WT,NotTouched,1,2,LeafWidth,12.17
WT,NotTouched,1,3,LeafWidth,13.74
WT,NotTouched,1,4,LeafWidth,9.48
WT,NotTouched,1,5,LeafWidth,9.8
WT,NotTouched,1,6,LeafWidth,12.742
WT,NotTouched,1,7,LeafWidth,15.84
WT,NotTouched,1,8,LeafWidth,14.018
WT,NotTouched,1,9,LeafWidth,15.31
WT,NotTouched,1,10,LeafWidth,13.498
WT,NotTouched,1,11,LeafWidth,13.026
WT,NotTouched,1,12,LeafWidth,15.145
WT,NotTouched,1,13,LeafWidth,14.05
WT,NotTouched,1,14,LeafWidth,12.082
WT,NotTouched,1,15,LeafWidth,13.618
WT,NotTouched,2,16,LeafWidth,11.038
WT,NotTouched,2,17,LeafWidth,10.466
WT,NotTouched,2,18,LeafWidth,13.518
WT,NotTouched,2,19,LeafWidth,10.51
WT,NotTouched,2,20,LeafWidth,13.458
WT,NotTouched,2,21,LeafWidth,14.068
WT,NotTouched,2,22,LeafWidth,11.39
WT,NotTouched,2,23,LeafWidth,14.336
WT,NotTouched,2,24,LeafWidth,12.162
WT,NotTouched,2,25,LeafWidth,13.3
WT,NotTouched,2,26,LeafWidth,12.66
WT,NotTouched,2,27,LeafWidth,13.82
WT,NotTouched,2,28,LeafWidth,14.51
WT,NotTouched,3,29,LeafWidth,11.95
WT,NotTouched,3,30,LeafWidth,11.83
WT,NotTouched,3,31,LeafWidth,13
WT,NotTouched,3,32,LeafWidth,12.41
WT,NotTouched,3,33,LeafWidth,11.94
WT,NotTouched,3,34,LeafWidth,12.718
WT,NotTouched,3,35,LeafWidth,13.366
WT,NotTouched,3,36,LeafWidth,12.782
WT,NotTouched,3,37,LeafWidth,11.114
WT,NotTouched,3,38,LeafWidth,11.364
WT,NotTouched,3,39,LeafWidth,13.314
WT,NotTouched,3,40,LeafWidth,13.252
WT,NotTouched,3,41,LeafWidth,14.808
WT,NotTouched,3,42,LeafWidth,10.734
ccr1.1,NotTouched,1,1,LeafWidth,10.01
ccr1.1,NotTouched,1,2,LeafWidth,7.256
ccr1.1,NotTouched,1,3,LeafWidth,10.774
ccr1.1,NotTouched,1,4,LeafWidth,8.59
ccr1.1,NotTouched,1,5,LeafWidth,8.98
ccr1.1,NotTouched,1,6,LeafWidth,9.95
ccr1.1,NotTouched,1,7,LeafWidth,7.94
ccr1.1,NotTouched,1,8,LeafWidth,6.835
ccr1.1,NotTouched,2,9,LeafWidth,7.858
ccr1.1,NotTouched,2,10,LeafWidth,10.134
ccr1.1,NotTouched,2,11,LeafWidth,10.258
ccr1.1,NotTouched,2,12,LeafWidth,8.826
ccr1.1,NotTouched,2,13,LeafWidth,8.878
ccr1.1,NotTouched,2,14,LeafWidth,10.624
ccr1.1,NotTouched,2,15,LeafWidth,8.624
ccr1.1,NotTouched,2,16,LeafWidth,8.374
ccr1.1,NotTouched,3,17,LeafWidth,9.934
ccr1.1,NotTouched,3,18,LeafWidth,11.322
ccr1.1,NotTouched,3,19,LeafWidth,8.537
ccr1.1,NotTouched,3,20,LeafWidth,10.674
ccr1.1,NotTouched,3,21,LeafWidth,8.282
ccr1.1,NotTouched,3,22,LeafWidth,10.792
ccr1.1,NotTouched,3,23,LeafWidth,10.514
ccr1.1,NotTouched,3,24,LeafWidth,5.024
ccr1.1,NotTouched,3,25,LeafWidth,11.772
ccr1.1,NotTouched,3,26,LeafWidth,9.864
ccr1.1,NotTouched,3,27,LeafWidth,11.88
ccr1.1,NotTouched,3,28,LeafWidth,10.646
ccr1.1,NotTouched,3,29,LeafWidth,7.936
WT,Touched,1,1,LeafWidth,11.87
WT,Touched,1,2,LeafWidth,10.95
WT,Touched,1,3,LeafWidth,12.48
WT,Touched,1,4,LeafWidth,10.24
WT,Touched,1,5,LeafWidth,13.37
WT,Touched,1,6,LeafWidth,11.31
WT,Touched,1,7,LeafWidth,11.48
WT,Touched,1,8,LeafWidth,11.47
WT,Touched,1,9,LeafWidth,10.08
WT,Touched,1,10,LeafWidth,12.03
WT,Touched,1,11,LeafWidth,12.37
WT,Touched,1,12,LeafWidth,11.11
WT,Touched,1,13,LeafWidth,11.24
WT,Touched,1,14,LeafWidth,10.83
WT,Touched,2,15,LeafWidth,11.02
WT,Touched,2,16,LeafWidth,9.41
WT,Touched,2,17,LeafWidth,10.7
WT,Touched,2,18,LeafWidth,12.14
WT,Touched,2,19,LeafWidth,11.68
WT,Touched,2,20,LeafWidth,12.15
WT,Touched,2,21,LeafWidth,10.65
WT,Touched,2,22,LeafWidth,13.4
WT,Touched,2,23,LeafWidth,13.46
WT,Touched,2,24,LeafWidth,12.8
WT,Touched,2,25,LeafWidth,12.77
WT,Touched,2,26,LeafWidth,9.26
WT,Touched,2,27,LeafWidth,12.48
WT,Touched,2,28,LeafWidth,10.59
WT,Touched,3,29,LeafWidth,9.14
WT,Touched,3,30,LeafWidth,7.72
WT,Touched,3,31,LeafWidth,10.55
WT,Touched,3,32,LeafWidth,10.18
WT,Touched,3,33,LeafWidth,10.6
WT,Touched,3,34,LeafWidth,11.78
WT,Touched,3,35,LeafWidth,12.59
WT,Touched,3,36,LeafWidth,11.86
WT,Touched,3,37,LeafWidth,10.73
WT,Touched,3,38,LeafWidth,11.85
WT,Touched,3,39,LeafWidth,11.47
WT,Touched,3,40,LeafWidth,11.44
WT,Touched,3,41,LeafWidth,11.44
WT,Touched,3,42,LeafWidth,12.64
ccr1.1,Touched,1,1,LeafWidth,7.87
ccr1.1,Touched,1,2,LeafWidth,10.38
ccr1.1,Touched,1,3,LeafWidth,10.52
ccr1.1,Touched,1,4,LeafWidth,10.97
ccr1.1,Touched,1,5,LeafWidth,10.92
ccr1.1,Touched,1,6,LeafWidth,11.53
ccr1.1,Touched,1,7,LeafWidth,11.3
ccr1.1,Touched,1,8,LeafWidth,8.61
ccr1.1,Touched,1,9,LeafWidth,10.54
ccr1.1,Touched,1,10,LeafWidth,7.85
ccr1.1,Touched,1,11,LeafWidth,10.06
ccr1.1,Touched,1,12,LeafWidth,6.5
ccr1.1,Touched,1,13,LeafWidth,11
ccr1.1,Touched,1,14,LeafWidth,9.16
ccr1.1,Touched,2,15,LeafWidth,9.8
ccr1.1,Touched,2,16,LeafWidth,9.91
ccr1.1,Touched,2,17,LeafWidth,5.4
ccr1.1,Touched,2,18,LeafWidth,10.03
ccr1.1,Touched,2,19,LeafWidth,11.35
ccr1.1,Touched,2,20,LeafWidth,10.4
ccr1.1,Touched,2,21,LeafWidth,12.26
ccr1.1,Touched,2,22,LeafWidth,10.27
ccr1.1,Touched,2,23,LeafWidth,11.18
ccr1.1,Touched,2,24,LeafWidth,7.25
ccr1.1,Touched,3,25,LeafWidth,10.3
ccr1.1,Touched,3,26,LeafWidth,10.83
ccr1.1,Touched,3,27,LeafWidth,12.04
ccr1.1,Touched,3,28,LeafWidth,8.7
ccr1.1,Touched,3,29,LeafWidth,12.19
ccr1.1,Touched,3,30,LeafWidth,10.97
ccr1.1,Touched,4,31,LeafWidth,10.69
ccr1.1,Touched,5,32,LeafWidth,6.2
ccr1.1,Touched,6,33,LeafWidth,9.68
ccr1.1,Touched,7,34,LeafWidth,9.68
ccr1.1,Touched,8,35,LeafWidth,7.91
ccr1.1,Touched,9,36,LeafWidth,7.91
